"DTM" "P" "T" "R"
1961-01-16 35.2512195782691 -4.42902825207503 16.1706272981099
1961-02-14 32.6829272377782 0.0502512833678762 27.917899146961
1961-03-16 48.9121952409424 3.09441785920755 25.0587747816321
1961-04-15 74.9585366150955 9.08769612105866 45.0277557051789
1961-05-16 85.5951214499953 8.85987810704532 30.0933198597112
1961-06-15 59.0536580520069 14.9063140588755 22.631281510103
1961-07-16 95.3146340161926 13.4736467649067 13.4737962240497
1961-08-16 83.8170750620889 13.9378482201318 24.3336345440487
1961-09-15 17.4780485173914 13.3415985679916 12.9903693989941
1961-10-16 43.4853665808715 8.38143591046568 10.424754177449
1961-11-15 44.5926830405142 1.58655788201975 11.2776572187971
1961-12-16 45.76341495354 -4.11832803203307 16.5331974169016
1962-01-16 58.3195112632905 -2.49747825577327 26.439994281791
1962-02-14 74.600000048556 -3.50140380616671 21.5919138362334
1962-03-16 49.1756096902054 -2.61101097420549 46.6679538616175
1962-04-15 30.8097563905687 7.67444410243639 84.6722084084886
1962-05-16 96.5487815379733 8.44131005677485 41.3537118347563
1962-06-15 36.8048780311535 12.6204602492242 19.8515772660332
1962-07-16 47.0219516078146 13.2555507637641 11.9440956276238
1962-08-16 37.1951218681728 14.6796263792546 10.6457492974744
1962-09-15 67.1512188580705 10.2228180717354 9.15057918855246
1962-10-16 34.0804872011266 6.66609369906125 7.10982737706774
1962-11-15 58.0390245569189 1.71452540209608 9.16439138355405
1962-12-16 55.7024391600635 -6.4381549560414 7.14090481582131
1963-01-16 28.4902440036942 -9.69810772731584 5.52487800063545
1963-02-14 21.4951220398269 -7.27135153303031 4.74448898304569
1963-03-16 28.958536517511 -1.18528317036214 27.3481461031455
1963-04-15 13.4341460491826 6.50728959369208 40.4593722084035
1963-05-16 126.704877514483 10.893001635318 50.8219715083453
1963-06-15 129.102442129901 14.6163139384644 34.8447149402577
1963-07-16 46.068292889108 16.569791600186 16.8508779019381
1963-08-16 71.2341460896338 15.1022069151673 10.8598383199991
1963-09-15 96.5853658205852 12.5102977844466 23.6844613789741
1963-10-16 37.3048772357586 6.07647924283046 16.3847163206345
1963-11-15 85.4634151475095 5.29111073963995 22.6105632176006
1963-12-16 6.05609757980195 -6.50101881044995 18.936519347178
1964-01-16 14.6414632809962 -7.02391418217159 8.38745541471469
1964-02-15 34.6682927086949 -3.83210487517699 9.87917247488626
1964-03-16 34.9390238399913 -2.99039725406351 27.9420704882138
1964-04-15 33.0390247686244 6.50810260090144 37.3723466255484
1964-05-16 44.3414634740571 11.4682967033896 16.0083340068412
1964-06-15 121.482925869343 16.0889969948538 13.0421651302501
1964-07-16 49.1243910491466 16.1431983614094 9.60983467235529
1964-08-16 188.985366426953 13.3174706367744 28.4738399957749
1964-09-15 21.1804878942487 11.0833872247225 14.554600482924
1964-10-16 120.670730884664 5.57341077358258 37.8972100356088
1964-11-15 76.2926834690861 1.9887530356111 35.0242734752783
1964-12-16 37.6658540348091 -2.56183706227317 31.2362789960926
1965-01-16 53.6536589350279 -2.14641614350744 19.9517156797948
1965-02-14 63.6097565371452 -6.5272748947782 13.5359511015568
1965-03-16 45.7243899245088 -1.39370174369926 95.6183729472476
